source bytecode,target bytecode,target opcode,target instruction count,source gas,target gas,gas saved,known optimal,translation validation
616b6c905061102d,50616b6c61102d,POP PUSH 27500 PUSH 4141,3,11,8,3,true,true
617530905061102d,5061753061102d,POP PUSH 30000 PUSH 4141,3,11,8,3,true,true
50829050,505081,POP POP DUP2,3,10,7,3,true,true
6305f5e108549050,506305f5e10854,POP PUSH 100000008 SLOAD,3,208,205,3,false,true
80600061ffff1681,80600081,DUP1 PUSH 0 DUP2,3,15,9,6,true,true
8060018190555050,600155,PUSH 1 SSTORE,2,20016,20003,13,false,true
8060028190555050,600255,PUSH 2 SSTORE,2,20016,20003,13,false,true
8060048190555050,600455,PUSH 4 SSTORE,2,20016,20003,13,false,true
8060058190555050,600555,PUSH 5 SSTORE,2,20016,20003,13,false,true
8060068190555050,600655,PUSH 6 SSTORE,2,20016,20003,13,false,true
8060078190555050,600755,PUSH 7 SSTORE,2,20016,20003,13,false,true
8060088190555050,600855,PUSH 8 SSTORE,2,20016,20003,13,false,true
8060098190555050,600955,PUSH 9 SSTORE,2,20016,20003,13,false,true
80600a8190555050,600a55,PUSH 10 SSTORE,2,20016,20003,13,false,true
80600b8190555050,600b55,PUSH 11 SSTORE,2,20016,20003,13,false,true
80600c8190555050,600c55,PUSH 12 SSTORE,2,20016,20003,13,false,true
80600d8190555050,600d55,PUSH 13 SSTORE,2,20016,20003,13,false,true
80600e8190555050,600e55,PUSH 14 SSTORE,2,20016,20003,13,false,true
80600f8190555050,600f55,PUSH 15 SSTORE,2,20016,20003,13,false,true
8060128190555050,601255,PUSH 18 SSTORE,2,20016,20003,13,false,true
80831115156110ba,8281106110ba,DUP3 DUP2 LT PUSH 4282,4,18,12,6,false,true
8110151515610b59,811015610b59,DUP2 LT ISZERO PUSH 2905,4,18,12,6,false,true
81111515156108ad,8111156108ad,DUP2 GT ISZERO PUSH 2221,4,18,12,6,false,true
8181111515610859,808210610859,DUP1 DUP3 LT PUSH 2137,4,18,12,6,false,true
8260008114610302,828015610302,DUP3 DUP1 ISZERO PUSH 770,4,15,12,3,false,true
8282111515611880,818310611880,DUP2 DUP4 LT PUSH 6272,4,18,12,6,false,true
9060159081908184,601560159192601584,PUSH 21 PUSH 21 SWAP2 SWAP3 PUSH 21 DUP5,6,21,18,3,false,true
9081600082015481,9081815483,SWAP1 DUP2 DUP2 SLOAD DUP4,5,218,212,6,false,true
60008190,806000,DUP1 PUSH 0,2,9,6,3,true,true
60009050,506000,POP PUSH 0,2,8,5,3,true,true
33600032821461103a,33600033321461103a,CALLER PUSH 0 CALLER ORIGIN EQ PUSH 4154,6,16,15,1,false,true
336020808301919091,602033818301,PUSH 32 CALLER DUP2 DUP4 ADD,5,23,14,9,false,true
346000141515610100,3415610100,CALLVALUE ISZERO PUSH 256,3,17,8,9,true,true
426040808301919091,604042818301,PUSH 64 TIMESTAMP DUP2 DUP4 ADD,5,23,14,9,false,true
503361083281610aa6,503361083233610aa6,POP CALLER PUSH 2098 CALLER PUSH 2726,5,13,12,1,false,true
506000151584151514,5091918315,POP SWAP2 SWAP2 DUP4 ISZERO,5,23,14,9,false,true
506000600181905550,506000600155,POP PUSH 0 PUSH 1 SSTORE,4,20016,20008,8,false,true
5060008111156104a4,5080156104a4,POP DUP1 ISZERO PUSH 1188,4,17,11,6,true,true
506000821115610b7d,508115610b7d,POP DUP2 ISZERO PUSH 2941,4,17,11,6,true,true
506001151581151514,5080901515,POP DUP1 SWAP1 ISZERO ISZERO,5,23,14,9,false,true
600460208084018290,600460208184602001,PUSH 4 PUSH 32 DUP2 DUP5 PUSH 32 ADD,6,21,18,3,false,true
602001600080191681,602001600081,PUSH 32 ADD PUSH 0 DUP2,4,21,12,9,false,true
604080519081016040,604051806040016040,PUSH 64 MLOAD DUP1 PUSH 64 ADD PUSH 64,6,20,17,3,false,true
600019166000191681,81,DUP2,1,21,3,18,true,true
6000341115156105e1,6105e134151590,PUSH 1505 CALLVALUE ISZERO ISZERO SWAP1,5,17,14,3,false,true
6000341415156104e5,34156104e5,CALLVALUE ISZERO PUSH 1253,3,17,8,9,true,true
600060008214610db9,60008115610db9,PUSH 0 DUP2 ISZERO PUSH 3513,4,15,12,3,false,true
600060019050610921,6001610921,PUSH 1 PUSH 2337,2,14,6,8,true,true
600060068190555050,506000600655,POP PUSH 0 PUSH 6 SSTORE,4,20016,20008,8,false,true
600061044c54905090,61044c5490,PUSH 1100 SLOAD SWAP1,3,214,206,8,false,true
