lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH w_1 DUP5 ADD SWAP2 SWAP1 SWAP2,SWAP1 DUP4 PUSH w_1 ADD,w_1,6,PUSH 928 DUP5 ADD SWAP2 SWAP1 SWAP2,SWAP1 DUP4 PUSH 928 ADD,"PUSH(w_1, DUP5(ADD(SWAP2(SWAP1(SWAP2(P)))))) -> SWAP1(DUP4(PUSH(w_1, ADD(P))))"
PUSH w_2 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2,PUSH w_2 SWAP1 PUSH w_2 DUP4 ADD,w_2,6,PUSH 32 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2,PUSH 32 SWAP1 PUSH 32 DUP4 ADD,"PUSH(w_2, DUP1(DUP4(ADD(SWAP2(SWAP1(SWAP2(P))))))) ->  PUSH(w_2, SWAP1(PUSH(w_2, DUP4(ADD(P)))))"
ADD PUSH 1 ISZERO ISZERO,SWAP1 ADD PUSH 1,,3,PUSH 32 ADD PUSH 1 ISZERO ISZERO DUP2,PUSH 32 SWAP1 ADD PUSH 1 DUP2,"ADD(PUSH(1, ISZERO(ISZERO(P)))) -> SWAP1(ADD(PUSH(1, P)))"
PUSH w_1 SWAP2 DUP2 ADD SWAP2 SWAP1 SWAP2,DUP1 PUSH w_1 SWAP2 SWAP3 ADD,w_1,6,PUSH 10 SWAP2 DUP2 ADD SWAP2 SWAP1 SWAP2,DUP1 PUSH 10 SWAP2 SWAP3 ADD,"PUSH(w_1, SWAP2(DUP2(ADD(SWAP2(SWAP1(SWAP2(P))))))) ->  DUP1(PUSH(w_1, SWAP2(SWAP3(ADD(P)))))"
PUSH w_3 SLOAD PUSH w_2 SLOAD SWAP1,PUSH w_2 SLOAD PUSH w_3 SLOAD,w_3 w_2,3,PUSH 10 SLOAD PUSH 11 SLOAD SWAP1 SWAP2,PUSH 11 SLOAD PUSH 10 SLOAD SWAP2,"PUSH(w_3, SLOAD(PUSH(w_2, SLOAD(SWAP1(P))))) ->  PUSH(w_2, SLOAD(PUSH(w_3, SLOAD(P))))"
DUP2 SWAP1 SSTORE POP POP POP,SSTORE EQ POP,,7,PUSH 1 DUP2 SWAP1 SSTORE POP POP POP,PUSH 1 SSTORE EQ POP,DUP2(SWAP1(SSTORE(POP(POP(POP(P)))))) -> SSTORE(EQ(POP(P)))
PUSH w_2 DUP1 PUSH w_2 DUP1 SWAP2 POP,PUSH w_2 DUP1 DUP1,w_2,8,PUSH 0 DUP1 PUSH 0 DUP1 SWAP2 POP,PUSH 0 DUP1 DUP1,"PUSH(w_2, DUP1(PUSH(w_2, DUP1(SWAP2(POP(P)))))) -> PUSH(w_2, DUP1(DUP1(P)))"
PUSH w_3 DUP1 PUSH w_4 DUP1 SWAP1 POP,PUSH w_3 PUSH w_3 PUSH w_4,w_3 w_4,8,PUSH 0 DUP1 PUSH 0 DUP1 SWAP1 POP,PUSH 0 PUSH 0 PUSH 0,"PUSH(w_3, DUP1(PUSH(w_4, DUP1(SWAP1(POP(P)))))) ->  PUSH(w_3, PUSH(w_3, PUSH(w_4, P)))"
DUP1 SWAP4 SWAP3 SWAP2 SWAP1,SWAP3 SWAP2 SWAP1 DUP4,,3,DUP1 SWAP4 SWAP3 SWAP2 SWAP1 DUP2 DUP2,SWAP3 SWAP2 SWAP1 DUP4 DUP2 DUP2,DUP1(SWAP4(SWAP3(SWAP2(SWAP1(P))))) -> SWAP3(SWAP2(SWAP1(DUP4(P))))
PUSH w_4 PUSH w_2 MLOAD SWAP1 DUP1,PUSH w_2 MLOAD PUSH w_4 PUSH w_4,w_4 w_2,3,PUSH 0 PUSH 64 MLOAD SWAP1 DUP1 DUP3,PUSH 64 MLOAD PUSH 0 PUSH 0 DUP3,"PUSH(w_4, PUSH(w_2, MLOAD(SWAP1(DUP1(P))))) ->  PUSH(w_2, MLOAD(PUSH(w_4, PUSH(w_4, P))))"
PUSH w_3 PUSH w_4 DUP3 ADD DUP2 SWAP1,PUSH w_3 PUSH w_3 DUP3 PUSH w_4 ADD,w_3 w_4,3,PUSH 0 PUSH 36 DUP3 ADD DUP2 SWAP1,PUSH 0 PUSH 0 DUP3 PUSH 36 ADD,"PUSH(w_3, PUSH(w_4, DUP3(ADD(DUP2(SWAP1(P)))))) ->  PUSH(w_3, PUSH(w_3, DUP3(PUSH(w_4, ADD(P)))))"
RETURNDATASIZE PUSH w_2 MLOAD DUP2,RETURNDATASIZE PUSH w_2 MLOAD RETURNDATASIZE,w_2,1,RETURNDATASIZE PUSH 64 MLOAD DUP2 PUSH 0 DUP3,RETURNDATASIZE PUSH 64 MLOAD RETURNDATASIZE PUSH 0 DUP3,"RETURNDATASIZE(PUSH(w_2, MLOAD(DUP2(P)))) ->  RETURNDATASIZE(PUSH(w_2, MLOAD(RETURNDATASIZE(P))))"
RETURNDATASIZE PUSH w_2 DUP2 EQ,RETURNDATASIZE RETURNDATASIZE PUSH w_2 EQ,w_2,1,RETURNDATASIZE PUSH 32 DUP2 EQ PUSH 13560,RETURNDATASIZE RETURNDATASIZE PUSH 32 EQ PUSH 13560,"RETURNDATASIZE(PUSH(w_2, DUP2(EQ(P)))) ->  RETURNDATASIZE(RETURNDATASIZE(PUSH(w_2, EQ(P))))"
CALLDATASIZE PUSH w_2 DUP2 EQ,CALLDATASIZE CALLDATASIZE PUSH w_2 EQ,w_2,1,CALLDATASIZE PUSH 8 DUP2 EQ PUSH 1273,CALLDATASIZE CALLDATASIZE PUSH 8 EQ PUSH 1273,"CALLDATASIZE(PUSH(w_2, DUP2(EQ(P)))) ->  CALLDATASIZE(CALLDATASIZE(PUSH(w_2, EQ(P))))"
SWAP2 POP POP POP,OR POP POP,,2,SWAP2 POP POP POP PUSH 478,OR POP POP PUSH 478,SWAP2(POP(POP(POP(P)))) -> OR(POP(POP(P)))
DUP3 PUSH w_1 DUP2 SWAP1 SSTORE POP,DUP3 SWAP3 PUSH w_1 SSTORE,w_1,5,DUP3 PUSH 4 DUP2 SWAP1 SSTORE POP,DUP3 SWAP3 PUSH 4 SSTORE,"DUP3(PUSH(w_1, DUP2(SWAP1(SSTORE(POP(P)))))) ->  DUP3(SWAP3(PUSH(w_1, SSTORE(P))))"
DUP2 PUSH 0 ADD DUP2 DUP2,DUP2 DUP2 DUP4,,6,DUP2 DUP2 PUSH 0 ADD DUP2 DUP2,DUP2 DUP2 DUP2 DUP4,"DUP2(PUSH(0, ADD(DUP2(DUP2(P))))) -> DUP2(DUP2(DUP4(P)))"
DUP1 SWAP2 POP POP SWAP2 SWAP1 POP,SWAP3 SWAP2 POP POP,,8,DUP1 SWAP2 POP POP SWAP2 SWAP1 POP,SWAP3 SWAP2 POP POP,DUP1(SWAP2(POP(POP(SWAP2(SWAP1(POP(P))))))) -> SWAP3(SWAP2(POP(POP(P))))
DUP1 PUSH w_0 DUP1 NOT AND DUP2,DUP1 PUSH 0 DUP3,w_0,9,DUP1 PUSH 0 DUP1 NOT AND DUP2,DUP1 PUSH 0 DUP3,"DUP1(PUSH(w_0, DUP1(NOT(AND(DUP2(P)))))) -> DUP1(PUSH(0, DUP3(P)))"
ADDRESS BALANCE SWAP1 POP,POP ADDRESS BALANCE,,3,ADDRESS BALANCE SWAP1 POP,POP ADDRESS BALANCE,ADDRESS(BALANCE(SWAP1(POP(P)))) -> POP(ADDRESS(BALANCE(P)))
CALLER PUSH w_3 SWAP1,PUSH w_3 CALLER,w_3,3,PUSH 143 CALLER PUSH 0 SWAP1 DUP2,PUSH 143 PUSH 0 CALLER DUP2,"CALLER(PUSH(w_3, SWAP1(P))) -> PUSH(w_3, CALLER(P))"
PUSH w_1 DUP4 ADD SWAP4 SWAP1 SWAP4,SWAP3 PUSH w_1 DUP4 ADD,w_1,6,PUSH 96 DUP4 ADD SWAP4 SWAP1 SWAP4,SWAP3 PUSH 96 DUP4 ADD,"PUSH(w_1, DUP4(ADD(SWAP4(SWAP1(SWAP4(P)))))) ->  SWAP3(PUSH(w_1, DUP4(ADD(P))))"
PUSH w_2 DUP1 MLOAD CALLVALUE DUP1,PUSH w_2 PUSH w_2 MLOAD CALLVALUE CALLVALUE,w_2,1,PUSH 64 DUP1 MLOAD CALLVALUE DUP1 DUP3,PUSH 64 PUSH 64 MLOAD CALLVALUE CALLVALUE DUP3,"PUSH(w_2, DUP1(MLOAD(CALLVALUE(DUP1(P))))) ->  PUSH(w_2, PUSH(w_2, MLOAD(CALLVALUE(CALLVALUE(P)))))"
SWAP3 DUP4 SWAP1,DUP1 SWAP4,,3,SWAP3 DUP4 SWAP1,DUP1 SWAP4,SWAP3(DUP4(SWAP1(P))) -> DUP1(SWAP4(P))
PUSH w_2 DUP1 DUP4 ADD DUP5 SWAP1,PUSH w_2 DUP4 DUP4 PUSH w_2 ADD,w_2,3,PUSH 32 DUP1 DUP4 ADD DUP5 SWAP1,PUSH 32 DUP4 DUP4 PUSH 32 ADD,"PUSH(w_2, DUP1(DUP4(ADD(DUP5(SWAP1(P)))))) ->  PUSH(w_2, DUP4(DUP4(PUSH(w_2, ADD(P)))))"
PUSH w_0 MUL ADD MLOAD POP,POP POP,w_0,11,PUSH 32 MUL ADD MLOAD POP POP,POP POP POP,"PUSH(w_0, MUL(ADD(MLOAD(POP(P))))) -> POP(POP(P))"
SWAP1 DUP2 SWAP1,DUP1 SWAP2,,3,SWAP1 DUP2 SWAP1,DUP1 SWAP2,SWAP1(DUP2(SWAP1(P))) -> DUP1(SWAP2(P))
PUSH 1 CALLDATASIZE LT ISZERO,CALLDATASIZE PUSH 0 LT,,3,PUSH 1 CALLDATASIZE LT ISZERO PUSH 15,CALLDATASIZE PUSH 0 LT PUSH 15,"PUSH(1, CALLDATASIZE(LT(ISZERO(P)))) -> CALLDATASIZE(PUSH(0, LT(P)))"
DUP6 SWAP6 POP,,,8,DUP6 SWAP6 POP,,DUP6(SWAP6(POP(P))) -> P
DUP2 SWAP1 POP SWAP2 SWAP1 POP,POP SWAP1,,11,DUP2 SWAP1 POP SWAP2 SWAP1 POP,POP SWAP1,DUP2(SWAP1(POP(SWAP2(SWAP1(POP(P)))))) -> POP(SWAP1(P))
